"agent","task","method","result","metric"
"A3C-FF","Venture","A3C FF hs",23,"score"
"A3C-FF","Video Pinball","A3C FF hs",331628.1,"score"
"A3C-FF","Wizard of Wor","A3C FF hs",17244,"score"
"A3C-FF","Zaxxon","A3C FF hs",24622,"score"
"A3C-FF","Phoenix","A3C FF hs",52894.1,"score"
"A3C-FF","Pitfall!","A3C FF hs",-78.5,"score"
"A3C-FF","Skiing","A3C FF hs",-10911.1,"score"
"A3C-FF","Solaris","A3C FF hs",1956,"score"
"A3C-FF","Yars Revenge","A3C FF hs",7157.5,"score"
"A3C-FF","Defender","A3C FF hs",56533,"score"
"A3C-FF","Surround","A3C FF hs",-9.7,"score"
"A3C-LSTM","Alien","A3C LSTM hs",945.3,"score"
"A3C-LSTM","Amidar","A3C LSTM hs",173,"score"
"A3C-LSTM","Assault","A3C LSTM hs",14497.9,"score"
"A3C-LSTM","Asterix","A3C LSTM hs",17244.5,"score"
"A3C-LSTM","Asteroids","A3C LSTM hs",5093.1,"score"
"A3C-LSTM","Atlantis","A3C LSTM hs",875822,"score"
"A3C-LSTM","Bank Heist","A3C LSTM hs",932.8,"score"
"A3C-LSTM","Battle Zone","A3C LSTM hs",20760,"score"
"A3C-LSTM","Beam Rider","A3C LSTM hs",24622.2,"score"
"A3C-LSTM","Berzerk","A3C LSTM hs",862.2,"score"
"A3C-LSTM","Bowling","A3C LSTM hs",41.8,"score"
"A3C-LSTM","Boxing","A3C LSTM hs",37.3,"score"
"A3C-LSTM","Breakout","A3C LSTM hs",766.8,"score"
"A3C-LSTM","Centipede","A3C LSTM hs",1997,"score"
"A3C-LSTM","Chopper Command","A3C LSTM hs",10150,"score"
"A3C-LSTM","Crazy Climber","A3C LSTM hs",138518,"score"
"A3C-LSTM","Demon Attack","A3C LSTM hs",115201.9,"score"
"A3C-LSTM","Double Dunk","A3C LSTM hs",0.1,"score"
"A3C-LSTM","Enduro","A3C LSTM hs",-82.5,"score"
"A3C-LSTM","Fishing Derby","A3C LSTM hs",22.6,"score"
"A3C-LSTM","Freeway","A3C LSTM hs",0.1,"score"
"A3C-LSTM","Frostbite","A3C LSTM hs",197.6,"score"
"A3C-LSTM","Gopher","A3C LSTM hs",17106.8,"score"
"A3C-LSTM","Gravitar","A3C LSTM hs",320,"score"
"A3C-LSTM","HERO","A3C LSTM hs",28889.5,"score"
"A3C-LSTM","Ice Hockey","A3C LSTM hs",-1.7,"score"
"A3C-LSTM","James Bond","A3C LSTM hs",613,"score"
"A3C-LSTM","Kangaroo","A3C LSTM hs",125,"score"
"A3C-LSTM","Krull","A3C LSTM hs",5911.4,"score"
"A3C-LSTM","Kung-Fu Master","A3C LSTM hs",40835,"score"
"A3C-LSTM","Montezuma Revenge","A3C LSTM hs",41,"score"
"A3C-LSTM","Ms. Pacman","A3C LSTM hs",850.7,"score"
"A3C-LSTM","Name This Game","A3C LSTM hs",12093.7,"score"
"A3C-LSTM","Pong","A3C LSTM hs",10.7,"score"
"A3C-LSTM","Private Eye","A3C LSTM hs",421.1,"score"
"A3C-LSTM","Q*Bert","A3C LSTM hs",21307.5,"score"
"A3C-LSTM","River Raid","A3C LSTM hs",6591.9,"score"
"A3C-LSTM","Road Runner","A3C LSTM hs",73949,"score"
"A3C-LSTM","Robotank","A3C LSTM hs",2.6,"score"
"A3C-LSTM","Seaquest","A3C LSTM hs",1326.1,"score"
"A3C-LSTM","Space Invaders","A3C LSTM hs",23846,"score"
"A3C-LSTM","Star Gunner","A3C LSTM hs",164766,"score"
"A3C-LSTM","Tennis","A3C LSTM hs",-6.4,"score"
"A3C-LSTM","Time Pilot","A3C LSTM hs",27202,"score"
"A3C-LSTM","Tutankham","A3C LSTM hs",144.2,"score"
"A3C-LSTM","Up and Down","A3C LSTM hs",105728.7,"score"
"A3C-LSTM","Venture","A3C LSTM hs",25,"score"
"A3C-LSTM","Video Pinball","A3C LSTM hs",470310.5,"score"
"A3C-LSTM","Wizard of Wor","A3C LSTM hs",18082,"score"
"A3C-LSTM","Zaxxon","A3C LSTM hs",23519,"score"
"A3C-LSTM","Phoenix","A3C LSTM hs",74786.7,"score"
"A3C-LSTM","Pitfall!","A3C LSTM hs",-135.7,"score"
"A3C-LSTM","Skiing","A3C LSTM hs",-14863.8,"score"
"A3C-LSTM","Solaris","A3C LSTM hs",1936.4,"score"
"A3C-LSTM","Yars Revenge","A3C LSTM hs",5615.5,"score"
"A3C-LSTM","Defender","A3C LSTM hs",233021.5,"score"
"A3C-LSTM","Surround","A3C LSTM hs",-8.3,"score"
"Best Linear","Alien","Best Linear",939.2,"score"
"Best Linear","Amidar","Best Linear",103.4,"score"
"Best Linear","Assault","Best Linear",628,"score"
"Best Linear","Asterix","Best Linear",987.3,"score"
"Best Linear","Asteroids","Best Linear",907.3,"score"
"Best Linear","Atlantis","Best Linear",62687,"score"
"Best Linear","Bank Heist","Best Linear",190.8,"score"
"Best Linear","Battle Zone","Best Linear",15820,"score"
"Best Linear","Beam Rider","Best Linear",929.4,"score"
"Best Linear","Bowling","Best Linear",43.9,"score"
"Best Linear","Boxing","Best Linear",44,"score"
"Best Linear","Breakout","Best Linear",5.2,"score"
"Best Linear","Centipede","Best Linear",8803,"score"
"Best Linear","Chopper Command","Best Linear",1582,"score"
"Best Linear","Crazy Climber","Best Linear",23411,"score"
"Best Linear","Demon Attack","Best Linear",520.5,"score"
"Best Linear","Double Dunk","Best Linear",-13.1,"score"
"Best Linear","Enduro","Best Linear",129.1,"score"
"Best Linear","Fishing Derby","Best Linear",-89.5,"score"
"Best Linear","Freeway","Best Linear",19.1,"score"
"Best Linear","Frostbite","Best Linear",216.9,"score"
"Best Linear","Gopher","Best Linear",1288,"score"
"Best Linear","Gravitar","Best Linear",387.7,"score"
"Best Linear","HERO","Best Linear",6459,"score"
"Best Linear","Ice Hockey","Best Linear",-9.5,"score"
"Best Linear","James Bond","Best Linear",202.8,"score"
"Best Linear","Kangaroo","Best Linear",1622,"score"
"Best Linear","Krull","Best Linear",3372,"score"
"Best Linear","Kung-Fu Master","Best Linear",19544,"score"
"Best Linear","Montezuma Revenge","Best Linear",10.7,"score"
"Best Linear","Ms. Pacman","Best Linear",1692,"score"
"Best Linear","Name This Game","Best Linear",2500,"score"
"Best Linear","Pong","Best Linear",-19,"score"
"Best Linear","Private Eye","Best Linear",684.3,"score"
"Best Linear","Q*Bert","Best Linear",613.5,"score"
"Best Linear","River Raid","Best Linear",1904,"score"
"Best Linear","Road Runner","Best Linear",67.7,"score"
"Best Linear","Robotank","Best Linear",28.7,"score"
"Best Linear","Seaquest","Best Linear",664.8,"score"
"Best Linear","Space Invaders","Best Linear",250.1,"score"
"Best Linear","Star Gunner","Best Linear",1070,"score"
"Best Linear","Tennis","Best Linear",-0.1,"score"
"Best Linear","Time Pilot","Best Linear",3741,"score"
"Best Linear","Tutankham","Best Linear",114.3,"score"
"Best Linear","Up and Down","Best Linear",3533,"score"
"Best Linear","Venture","Best Linear",66,"score"
"Best Linear","Video Pinball","Best Linear",16871,"score"
"Best Linear","Wizard of Wor","Best Linear",1981,"score"
"Best Linear","Zaxxon","Best Linear",3365,"score"
"C51","Alien","C51 noop",3166,"score"
"C51","Amidar","C51 noop",1735,"score"
"C51","Assault","C51 noop",7203,"score"
"C51","Asterix","C51 noop",406211,"score"
"C51","Asteroids","C51 noop",1516,"score"
"C51","Atlantis","C51 noop",841075,"score"
"C51","Bank Heist","C51 noop",976,"score"
"C51","Battle Zone","C51 noop",28742,"score"
"C51","Beam Rider","C51 noop",14074,"score"
"C51","Berzerk","C51 noop",1645,"score"
"C51","Bowling","C51 noop",81.8,"score"
"C51","Boxing","C51 noop",97.8,"score"
"C51","Breakout","C51 noop",748,"score"
"C51","Centipede","C51 noop",9646,"score"
"C51","Chopper Command","C51 noop",15600,"score"
"C51","Crazy Climber","C51 noop",179877,"score"
"C51","Demon Attack","C51 noop",130955,"score"
"C51","Double Dunk","C51 noop",2.5,"score"
"C51","Enduro","C51 noop",3454,"score"
"C51","Fishing Derby","C51 noop",8.9,"score"
"C51","Freeway","C51 noop",33.9,"score"
"C51","Frostbite","C51 noop",3965,"score"
"C51","Gopher","C51 noop",33641,"score"
"C51","Gravitar","C51 noop",440,"score"
"C51","HERO","C51 noop",38874,"score"
"C51","Ice Hockey","C51 noop",-3.5,"score"
"C51","James Bond","C51 noop",1909,"score"
"C51","Kangaroo","C51 noop",12853,"score"
"C51","Krull","C51 noop",9735,"score"
"C51","Kung-Fu Master","C51 noop",48192,"score"
"C51","Montezuma Revenge","C51 noop",0,"score"
"C51","Ms. Pacman","C51 noop",3415,"score"
"C51","Name This Game","C51 noop",12542,"score"
"C51","Pong","C51 noop",20.9,"score"
"C51","Private Eye","C51 noop",15095,"score"
"C51","Q*Bert","C51 noop",23784,"score"
"C51","River Raid","C51 noop",17322,"score"
"C51","Road Runner","C51 noop",55839,"score"
"C51","Robotank","C51 noop",52.3,"score"
"C51","Seaquest","C51 noop",266434,"score"
"C51","Space Invaders","C51 noop",5747,"score"
"C51","Star Gunner","C51 noop",49095,"score"
"C51","Tennis","C51 noop",23.1,"score"
"C51","Time Pilot","C51 noop",8329,"score"
"C51","Tutankham","C51 noop",280,"score"
"C51","Up and Down","C51 noop",15612,"score"
"C51","Venture","C51 noop",1520,"score"
"C51","Video Pinball","C51 noop",949604,"score"
"C51","Wizard of Wor","C51 noop",9300,"score"
"C51","Zaxxon","C51 noop",10513,"score"
"C51","Phoenix","C51 noop",17490,"score"
"C51","Pitfall!","C51 noop",0,"score"
"C51","Skiing","C51 noop",-13901,"score"
"C51","Solaris","C51 noop",8342,"score"
"C51","Yars Revenge","C51 noop",35050,"score"
"C51","Defender","C51 noop",47092,"score"
"C51","Surround","C51 noop",6.8,"score"
"Double DQN-tuned","Alien","DDQN (tuned) hs",1033.4,"score"
"Double DQN-tuned","Amidar","DDQN (tuned) hs",169.1,"score"
"Double DQN-tuned","Assault","DDQN (tuned) hs",6060.8,"score"
"Double DQN-tuned","Asterix","DDQN (tuned) hs",16837,"score"
"Double DQN-tuned","Asteroids","DDQN (tuned) hs",1193.2,"score"
"Double DQN-tuned","Atlantis","DDQN (tuned) hs",319688,"score"
"Double DQN-tuned","Bank Heist","DDQN (tuned) hs",886,"score"
"Double DQN-tuned","Battle Zone","DDQN (tuned) hs",24740,"score"
"Double DQN-tuned","Beam Rider","DDQN (tuned) hs",17417.2,"score"
"Double DQN-tuned","Berzerk","DDQN (tuned) hs",1011.1,"score"
"Double DQN-tuned","Bowling","DDQN (tuned) hs",69.6,"score"
"Double DQN-tuned","Boxing","DDQN (tuned) hs",73.5,"score"
"Double DQN-tuned","Breakout","DDQN (tuned) hs",368.9,"score"
"Double DQN-tuned","Centipede","DDQN (tuned) hs",3853.5,"score"
"Double DQN-tuned","Chopper Command","DDQN (tuned) hs",3495,"score"
"Double DQN-tuned","Crazy Climber","DDQN (tuned) hs",113782,"score"
"Double DQN-tuned","Demon Attack","DDQN (tuned) hs",69803.4,"score"
"Double DQN-tuned","Double Dunk","DDQN (tuned) hs",-0.3,"score"
"Double DQN-tuned","Enduro","DDQN (tuned) hs",1216.6,"score"
"Double DQN-tuned","Fishing Derby","DDQN (tuned) hs",3.2,"score"
"Double DQN-tuned","Freeway","DDQN (tuned) hs",28.8,"score"
"Double DQN-tuned","Frostbite","DDQN (tuned) hs",1448.1,"score"
"Double DQN-tuned","Gopher","DDQN (tuned) hs",15253,"score"
"Double DQN-tuned","Gravitar","DDQN (tuned) hs",200.5,"score"
"Double DQN-tuned","HERO","DDQN (tuned) hs",14892.5,"score"
"Double DQN-tuned","Ice Hockey","DDQN (tuned) hs",-2.5,"score"
"Double DQN-tuned","James Bond","DDQN (tuned) hs",573,"score"
"Double DQN-tuned","Kangaroo","DDQN (tuned) hs",11204,"score"
"Double DQN-tuned","Krull","DDQN (tuned) hs",6796.1,"score"
"Double DQN-tuned","Kung-Fu Master","DDQN (tuned) hs",30207,"score"
"Double DQN-tuned","Montezuma Revenge","DDQN (tuned) hs",42,"score"
"Double DQN-tuned","Ms. Pacman","DDQN (tuned) hs",1241.3,"score"
"Double DQN-tuned","Name This Game","DDQN (tuned) hs",8960.3,"score"
"Double DQN-tuned","Pong","DDQN (tuned) hs",19.1,"score"
"Double DQN-tuned","Private Eye","DDQN (tuned) hs",-575.5,"score"
"Double DQN-tuned","Q*Bert","DDQN (tuned) hs",11020.8,"score"
"Double DQN-tuned","River Raid","DDQN (tuned) hs",10838.4,"score"
"Double DQN-tuned","Road Runner","DDQN (tuned) hs",43156,"score"
"Double DQN-tuned","Robotank","DDQN (tuned) hs",59.1,"score"
"Double DQN-tuned","Seaquest","DDQN (tuned) hs",14498,"score"
"Double DQN-tuned","Space Invaders","DDQN (tuned) hs",2628.7,"score"
"Double DQN-tuned","Star Gunner","DDQN (tuned) hs",58365,"score"
"Double DQN-tuned","Tennis","DDQN (tuned) hs",-7.8,"score"
"Double DQN-tuned","Time Pilot","DDQN (tuned) hs",6608,"score"
"Double DQN-tuned","Tutankham","DDQN (tuned) hs",92.2,"score"
"Double DQN-tuned","Up and Down","DDQN (tuned) hs",19086.9,"score"
"Double DQN-tuned","Venture","DDQN (tuned) hs",21,"score"
"Double DQN-tuned","Video Pinball","DDQN (tuned) hs",367823.7,"score"
"Double DQN-tuned","Wizard of Wor","DDQN (tuned) hs",6201,"score"
"Double DQN-tuned","Zaxxon","DDQN (tuned) hs",8593,"score"
"Double DQN-tuned","Phoenix","DDQN (tuned) hs",12366.5,"score"
"Double DQN-tuned","Pitfall!","DDQN (tuned) hs",-186.7,"score"
"Double DQN-tuned","Skiing","DDQN (tuned) hs",-11490.4,"score"
"Double DQN-tuned","Solaris","DDQN (tuned) hs",810,"score"
"Double DQN-tuned","Yars Revenge","DDQN (tuned) hs",6270.6,"score"
"Double DQN-tuned","Defender","DDQN (tuned) hs",27510,"score"
"Double DQN-tuned","Surround","DDQN (tuned) hs",1.9,"score"
"Duel DQN-tuned","Alien","DDQN (tuned) noop",3747.7,"score"
"Duel DQN-tuned","Amidar","DDQN (tuned) noop",1793.3,"score"
"Duel DQN-tuned","Assault","DDQN (tuned) noop",5393.2,"score"
"Duel DQN-tuned","Asterix","DDQN (tuned) noop",17356.5,"score"
"Duel DQN-tuned","Asteroids","DDQN (tuned) noop",734.7,"score"
"Duel DQN-tuned","Atlantis","DDQN (tuned) noop",106056,"score"
"Duel DQN-tuned","Bank Heist","DDQN (tuned) noop",1030.6,"score"
"Duel DQN-tuned","Battle Zone","DDQN (tuned) noop",31700,"score"
"Duel DQN-tuned","Beam Rider","DDQN (tuned) noop",13772.8,"score"
"Duel DQN-tuned","Berzerk","DDQN (tuned) noop",1225.4,"score"
"Duel DQN-tuned","Bowling","DDQN (tuned) noop",68.1,"score"
"Duel DQN-tuned","Boxing","DDQN (tuned) noop",91.6,"score"
"Duel DQN-tuned","Breakout","DDQN (tuned) noop",418.5,"score"
"Duel DQN-tuned","Centipede","DDQN (tuned) noop",5409.4,"score"
"Duel DQN-tuned","Chopper Command","DDQN (tuned) noop",5809,"score"
"Duel DQN-tuned","Crazy Climber","DDQN (tuned) noop",117282,"score"
"Duel DQN-tuned","Demon Attack","DDQN (tuned) noop",58044.2,"score"
"Duel DQN-tuned","Double Dunk","DDQN (tuned) noop",-5.5,"score"
"Duel DQN-tuned","Enduro","DDQN (tuned) noop",1211.8,"score"
"Duel DQN-tuned","Fishing Derby","DDQN (tuned) noop",15.5,"score"
"Duel DQN-tuned","Freeway","DDQN (tuned) noop",33.3,"score"
"Duel DQN-tuned","Frostbite","DDQN (tuned) noop",1683.3,"score"
"Duel DQN-tuned","Gopher","DDQN (tuned) noop",14840.8,"score"
"Duel DQN-tuned","Gravitar","DDQN (tuned) noop",412,"score"
"Duel DQN-tuned","HERO","DDQN (tuned) noop",20130.2,"score"
"Duel DQN-tuned","Ice Hockey","DDQN (tuned) noop",-2.7,"score"
"Duel DQN-tuned","James Bond","DDQN (tuned) noop",1358,"score"
"Duel DQN-tuned","Kangaroo","DDQN (tuned) noop",12992,"score"
"Duel DQN-tuned","Krull","DDQN (tuned) noop",7920.5,"score"
"Duel DQN-tuned","Kung-Fu Master","DDQN (tuned) noop",29710,"score"
"Duel DQN-tuned","Montezuma Revenge","DDQN (tuned) noop",0,"score"
"Duel DQN-tuned","Ms. Pacman","DDQN (tuned) noop",2711.4,"score"
